"ID","JobPageURL","PositionName","OrganizationURL","LogoURL","OrganizationTitle","LaborFunction","Location","PostedDate","Description","TagNames"
"1","https://jobs.techstars.com/companies/maxwell-financial-2?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Part-Time Accountant","https://maxwell.applytojob.com/apply/0Niloo2BYL/PartTime-Accountant?utm_source=Techstars+job+board&utm_medium=getro.com&gh_src=Techstars+job+board","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/cB2fzzFOTmG07ZeeySN8","Maxwell Financial","Finance · Lending and Investments · Real Estate","Denver, CO, USA","2024-01-06T00:00:00Z","Developer of a SaaS-based digital mortgage platform designed to empower mortgage lenders to be more connected, productive and successful. The company's platform allows mortgage lenders to collaborate with their homebuyers to automate documents and signatures and enables lenders to move efficiently by accelerating processing and underwriting, enabling lenders from non-depository mortgage banks, to credit unions, to brokers, to community banks to close loans more efficiently.","Finance, Lending and Investments, Real Estate, 201 - 1000, Series B"
"2","https://jobs.techstars.com/companies/flashfood?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Strategic Finance Manager","https://flashfood.bamboohr.com/careers/187?utm_source=Techstars+job+board&utm_medium=getro.com&gh_src=Techstars+job+board","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/j3cdmti8TvuGN7B6nl0T","Flashfood","Commerce and Shopping · Food · Internet Services · Mobile, Platforms, and Apps · Sustainability","Philadelphia, PA, USA","2024-01-06T00:00:00Z","Developer of a food selling application intended to reduce food wastage. The company's platform allows grocery stores to sell high-quality, surplus food at steep discounts to savvy shoppers, enabling users to view deals and purchase items at a cheaper rate and pick up the food in store.","Commerce and Shopping, Food, Internet Services, Mobile, Platforms, and Apps, Sustainability, 51 - 200, Series A"
"3","https://jobs.techstars.com/companies/openloop?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Senior Accountant","https://recruiting.paylocity.com/Recruiting/Jobs/Details/2159385?utm_source=Techstars+job+board&utm_medium=getro.com&gh_src=Techstars+job+board","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/Tahznr3QW0r6EERcbPjw","OpenLoop","Administrative Services · Health · HR and Recruiting","Des Moines, IA, USA","2024-01-06T00:00:00Z","OpenLoop matches medical providers instantaneously to healthcare facilities requiring coverage.","Administrative Services, Health, HR and Recruiting, 201 - 1000, Series A"
"4","https://jobs.techstars.com/companies/algooru?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Financial Analyst","https://jobs.techstars.com/companies/algooru/jobs/32935060-financial-analyst#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/E3bD8vdWRQ6qLy7XiNUB","AlGooru","Education · Software","Lahore, Pakistan","2024-01-06T00:00:00Z","AlGooru is an online service that connects students from various age groups with on-demand 1:1 private tutors for over 200+ subjects. The company sells monthly tutoring subscriptions, taking a cut from the tutors' earnings as commission. Our session prices range from $20 to $32 per month.","Education, Software, 51 - 200, Seed"
"5","https://jobs.techstars.com/companies/algooru?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Financial Analyst","https://jobs.techstars.com/companies/algooru/jobs/32935055-financial-analyst#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/E3bD8vdWRQ6qLy7XiNUB","AlGooru","Education · Software","Cairo, Cairo Governorate, Egypt","2024-01-06T00:00:00Z","AlGooru is an online service that connects students from various age groups with on-demand 1:1 private tutors for over 200+ subjects. The company sells monthly tutoring subscriptions, taking a cut from the tutors' earnings as commission. Our session prices range from $20 to $32 per month.","Education, Software, 51 - 200, Seed"
"6","https://jobs.techstars.com/companies/korapay-technologies-2?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Finance Associate","https://jobs.techstars.com/companies/korapay-technologies-2/jobs/32933644-finance-associate#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/ltpWABg5QtqGzkFwKENr","Korapay Technologies","Finance","Nigeria","2024-01-05T00:00:00Z","Kora was founded in 2018 with the simple idea of making the flow of money and value into, within and from Africa seamless, efficient and cheap. Our flagship product (Korapay) is an online cross-border payment solution that leverages cutting edge technology (including Blockchain settlement) to lower the cost of remittance, while increasing the speed of individual and business payments into and within Africa.","Finance, 51 - 200, Seed"
"7","https://jobs.techstars.com/companies/quantive?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Accountant","https://jobs.techstars.com/companies/quantive/jobs/32933590-accountant#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/YTpBxVuNTJSmNnrTtJ1z","Quantive","Administrative Services · Data and Analytics · HR and Recruiting · Information Technology · Software","Sofia, Bulgaria","2024-01-05T00:00:00Z","Gtmhub has developed a software tool combining goal management and state-of-the-art data integration to support human decision-making. With emphasis on encouraging and aligning creativity, it was immediately clear that OKRs were the methodology we wanted to adopt, and the methodology we wanted our tool to support.","Administrative Services, Data and Analytics, HR and Recruiting, Software, 201 - 1000, Series C+"
"8","https://jobs.techstars.com/companies/zipline?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Controller (RPIC)","https://jobs.techstars.com/companies/zipline/jobs/32925033-controller-rpic#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/4Q0QpnmSnKUE5OxfOgjT","Zipline","Administrative Services · Consumer Products · DeepTech · Hardware · Health · Software · Transportation","Concord, NC, USA","2024-01-05T00:00:00Z","Zipline was founded to create the first logistics system that serves all humans equally. Our aim is to solve the world’s most urgent and complex access challenges. Leveraging expertise in robotics and autonomy, Zipline designs, manufactures and operates the world’s largest automated delivery system. Zipline serves tens of millions of people around the world and is making good on the promise of building an equitable and more resilient global supply chain. From powering Rwanda’s national blood delivery network and Ghana’s COVID-19 vaccine distribution, to providing on-demand home delivery for Walmart and enabling leading healthcare providers to bring care into the home in the United States, Zipline is transforming the way goods move. By transitioning to clean, electric, instant logistics, we can decarbonize delivery, decrease road congestion, and reduce fossil fuel consumption and air pollution, while providing equitable access for billions of people. The technology is complex but the idea is simple: a teleportation service that delivers what you need, when you need it. Zipline is inspiring people, governments, and businesses to imagine what is possible when goods can move as seamlessly as information.","Administrative Services, Consumer Products, DeepTech, Hardware, Health, Software, Transportation, 1001 - 5000, Series C+"
"9","https://jobs.techstars.com/companies/bench-2?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Payroll Specialist","https://jobs.techstars.com/companies/bench-2/jobs/32916590-payroll-specialist#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/o0NoxLcXSWOAF6NQAa4Q","Bench","Finance · Professional Services","Canada; Remote","2024-01-05T00:00:00Z","Provider of an online bookkeeping service intended to automate accounting tasks for small businesses and independent contractors. The company's bookkeeping services include a combination of custom-built software and professional online bookkeepers to organize the financials of small businesses and deliver a fully outsourced accounting process for clients.","Finance, Professional Services, 201 - 1000, Series C+"
"10","https://jobs.techstars.com/companies/carma-2-afbe4e4e-0ae7-4cdf-8fe9-e8fd3164fd6b?filter=eyJqb2JfZnVuY3Rpb25zIjpbIkFjY291bnRpbmcgJiBGaW5hbmNlIl19#content","Automotive Vehicle Buyer","https://jobs.techstars.com/companies/carma-2-afbe4e4e-0ae7-4cdf-8fe9-e8fd3164fd6b/jobs/32913437-automotive-vehicle-buyer#content","https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/IOYPsyefSAeV3LtLGxMb","Carma","Commerce and Shopping · Finance · Transportation","Sydney, NSW, Australia","2024-01-05T00:00:00Z","Developer of a car rental application designed to own cars on a monthly subscription basis. The company's application offers a monthly vehicle subscription service that lets its members drive any of its cars as long as they want, with insurance, maintenance and roadside assistance included in the fee, enabling users to own and hire preferred cars on a monthly basis while having to pay no down payment, insurance or maintenance costs.","Commerce and Shopping, Finance, Transportation, 51 - 200, Series A"
